feature,mean_importance,std_importance,stable_importance,rank
Quick Ratio,0.03496676886922772,0.01051378076421369,0.02445298810501403,1
ROA(B) before interest and depreciation after tax,0.019275826729155753,0.01858764047307427,0.0006881862560814828,2
Borrowing dependency,0.01894086983691872,0.014469227510165317,0.0044716423267534035,3
Continuous interest rate (after tax),0.015846888670111525,0.02529459444762785,-0.009447705777516326,4
Research and development expense rate,0.013637609090468853,0.009546194021969566,0.004091415068499287,5
Retained Earnings to Total Assets,0.013314081791716042,0.021714065843698588,-0.008399984051982546,6
Persistent EPS in the Last Four Seasons,0.013036641986416039,0.022497307083577885,-0.009460665097161846,7
Interest-bearing debt interest rate,0.011344021379575261,0.017685110704358496,-0.0063410893247832344,8
Total debt/Total net worth,0.010957902005037039,0.011884271730637497,-0.000926369725600458,9
Quick Assets/Current Liability,0.010631668029367698,0.0036965060619048844,0.0069351619674628134,10
ROA(C) before interest and depreciation before interest,0.010238665779424744,0.005618803164771418,0.004619862614653326,11
Net worth/Assets,0.007813403213682343,0.017030830785628538,-0.009217427571946196,12
Equity to Liability,0.007750116829534856,0.013351367170899436,-0.00560125034136458,13
Quick Asset Turnover Rate,0.007139525136482525,0.007250615680201598,-0.00011109054371907356,14
Inventory/Working Capital,0.007047045101578979,0.007748061871890495,-0.0007010167703115164,15
Cash Flow to Liability,0.006950159184023641,0.014634590689480137,-0.007684431505456496,16
Total Asset Growth Rate,0.006900799510417807,0.011894211301390864,-0.004993411790973057,17
Revenue per person,0.006532957170526812,0.01157232875218776,-0.005039371581660948,18
Debt ratio %,0.006486565566133111,0.0119095739561122,-0.005423008389979089,19
CFO to Assets,0.00637569454011694,0.008594936636269382,-0.0022192420961524417,20
Net Income to Total Assets,0.006013178209623968,0.008834008264864617,-0.0028208300552406496,21
Liability to Equity,0.005273435774241839,0.009872187803498586,-0.004598752029256747,22
Net Value Growth Rate,0.0047960607839399125,0.006909377937531608,-0.0021133171535916958,23
Cash Flow to Total Assets,0.004374060243702608,0.011409868117845633,-0.007035807874143024,24
Non-industry income and expenditure/revenue,0.0038700025935767693,0.004031678215563971,-0.00016167562198720134,25
Cash Flow Per Share,0.003004303637717975,0.0063279931771840995,-0.0033236895394661244,26
Total expense/Assets,0.0029783223396455676,0.009424256886867492,-0.006445934547221924,27
Working Capital to Total Assets,0.0028975708475162155,0.0065697993664232185,-0.003672228518907003,28
Current Liability to Current Assets,0.002567830929155044,0.0034580973081875244,-0.0008902663790324805,29
Fixed Assets Turnover Frequency,0.00252632882599839,0.005317810897525179,-0.0027914820715267893,30
Continuous Net Profit Growth Rate,0.002166085891811802,0.005709409647709357,-0.003543323755897555,31
Cash flow rate,0.002054513968195517,0.0037451717568628804,-0.0016906577886673635,32
Interest Coverage Ratio (Interest expense to EBIT),0.0019878751252828874,0.009990837707680193,-0.008002962582397306,33
Cash Flow to Sales,0.0018706353561981804,0.009396977776270325,-0.007526342420072145,34
After-tax net Interest Rate,0.0015211187310516384,0.007890342180953244,-0.006369223449901605,35
Operating Funds to Liability,0.0014389758885381208,0.0033086108494245654,-0.0018696349608864446,36
Net Value Per Share (A),0.0012574950310474304,0.006398907687718222,-0.005141412656670792,37
Inventory/Current Liability,0.0009230482224363756,0.0034957110675268317,-0.002572662845090456,38
Cash Flow to Equity,0.0007422577236375829,0.008621856850260963,-0.00787959912662338,39
Cash Reinvestment %,0.0006681473383396867,0.010031548191757682,-0.009363400853417995,40
After-tax Net Profit Growth Rate,0.0006186727669370342,0.004142264124843229,-0.003523591357906195,41
Realized Sales Gross Profit Growth Rate,0.0005097613285697975,0.01133914834342677,-0.010829387014856973,42
Tax rate (A),0.0005056012977262059,0.004931066231223554,-0.004425464933497348,43
Contingent liabilities/Net worth,0.0004765393977247623,0.0028437285273345634,-0.002367189129609801,44
Total Asset Return Growth Rate Ratio,0.0003270358129740792,0.004862080523697483,-0.004535044710723404,45
Long-term fund suitability ratio (A),0.00031353423305743313,0.003907550308561865,-0.0035940160755044324,46
Operating Gross Margin,0.00016764685804269153,0.007302005654207113,-0.007134358796164422,47
Current Ratio,0.00012830882922079608,0.009592221026544858,-0.009463912197324061,48
Operating Profit Growth Rate,6.607162055635162e-05,0.0053384498309572035,-0.0052723782104008516,49
Current Liabilities/Liability,3.683035302567417e-05,0.006384344753675774,-0.006347514400650099,50
Liability-Assets Flag,0.0,0.0,0.0,51
Per Share Net profit before tax (Yuan ¥),-2.0613690008421918e-05,0.0028044712628520103,-0.0028250849528604323,52
Regular Net Profit Growth Rate,-0.00010085411962431372,0.0060954898994559446,-0.0061963440190802585,53
Operating profit/Paid-in capital,-0.0003150873630472039,0.006177492084708346,-0.00649257944775555,54
Current Liability to Liability,-0.0006374283601578657,0.0057118913390999315,-0.0063493196992577975,55
Net profit before tax/Paid-in capital,-0.000659408526166696,0.003049324973780907,-0.003708733499947603,56
Current Asset Turnover Rate,-0.000713579711151531,0.006268161497186074,-0.006981741208337605,57
Net Value Per Share (C),-0.0008262153654173621,0.008278924637495376,-0.009105140002912737,58
Average Collection Days,-0.0009517613093443544,0.0018608519671579717,-0.002812613276502326,59
Realized Sales Gross Margin,-0.0009683204023312332,0.006538214763618734,-0.007506535165949967,60
Revenue Per Share (Yuan ¥),-0.001012477711737882,0.00597771727636178,-0.006990194988099663,61
Total income/Total expense,-0.0010788736812741015,0.006671940853830553,-0.007750814535104654,62
Current Liability to Equity,-0.001096803369010764,0.013385686933804885,-0.014482490302815648,63
Cash Turnover Rate,-0.0011564377763324085,0.007410738192747091,-0.008567175969079499,64
Cash/Current Liability,-0.0011569066778332048,0.004403580120620168,-0.005560486798453373,65
Fixed Assets to Assets,-0.0012501687755538994,0.0033245922700182234,-0.004574761045572123,66
Current Liability to Assets,-0.0012508301191172478,0.012987796948068956,-0.014238627067186205,67
Operating Profit Per Share (Yuan ¥),-0.0014023375792864144,0.005865560479993744,-0.007267898059280159,68
Total assets to GNP price,-0.001521586989278598,0.007932551422898594,-0.009454138412177193,69
Accounts Receivable Turnover,-0.0015741063277843683,0.0046966349667674975,-0.006270741294551865,70
Net Value Per Share (B),-0.0016248582788253897,0.011637695306450556,-0.013262553585275946,71
Long-term Liability to Current Assets,-0.0017000372535748685,0.00825293827703612,-0.009952975530610988,72
Operating Profit Rate,-0.0017855977735450313,0.005567995014920411,-0.007353592788465443,73
No-credit Interval,-0.0018624929448349237,0.0030808791019081927,-0.004943372046743116,74
Interest Expense Ratio,-0.00197716835808607,0.00623188092612915,-0.00820904928421522,75
Current Liabilities/Equity,-0.0019889820599330752,0.013294045787195148,-0.015283027847128223,76
Total Asset Turnover,-0.002118036289950216,0.008921583759983594,-0.01103962004993381,77
ROA(A) before interest and % after tax,-0.0021280027264791146,0.0037154094169941274,-0.005843412143473242,78
Pre-tax net Interest Rate,-0.0021661359431159968,0.0030480687248998295,-0.005214204668015827,79
Inventory Turnover Rate (times),-0.0023107368888979503,0.005269275276118246,-0.007580012165016196,80
Gross Profit to Sales,-0.00247898366872773,0.007631904160688413,-0.010110887829416142,81
Operating Expense Rate,-0.002579204209559112,0.005556043311418466,-0.008135247520977579,82
Equity to Long-term Liability,-0.002682861899643263,0.0052329672580013,-0.007915829157644563,83
Inventory and accounts receivable/Net value,-0.002701663502954073,0.006518672913875266,-0.00922033641682934,84
Operating profit per person,-0.002720606397502676,0.0017231491702929197,-0.004443755567795596,85
Allocation rate per person,-0.0029279077270880595,0.003873017399464937,-0.006800925126552997,86
Current Assets/Total Assets,-0.0029411577278581234,0.0040870821157899815,-0.007028239843648105,87
Net Income to Stockholder's Equity,-0.003122234364594121,0.0037178397179122905,-0.006840074082506411,88
Quick Assets/Total Assets,-0.0032343798478094653,0.007299018835430602,-0.010533398683240068,89
Net Worth Turnover Rate (times),-0.003453961634603135,0.003150238340091203,-0.006604199974694338,90
Working Capital/Equity,-0.0035190700352229396,0.006519991351852956,-0.010039061387075896,91
Degree of Financial Leverage (DFL),-0.0035658729757618813,0.005365435003663974,-0.008931307979425856,92
Cash/Total Assets,-0.003931551843316333,0.006001024511820022,-0.009932576355136355,93
Working capitcal Turnover Rate,-0.00489096142905805,0.006940326911730766,-0.011831288340788816,94
