feature,outliers,outlier_pct,lower_bound,upper_bound
Degree of Financial Leverage (DFL),1503,22.04,0.02660811540931098,0.02709622549779477
Interest Coverage Ratio (Interest expense to EBIT),1421,20.84,0.5643089251348524,0.5665741801288565
Fixed Assets Turnover Frequency,1418,20.79,-0.00489605342689695,0.00878142586208585
Current Asset Turnover Rate,1399,20.52,-0.000314832736790225,0.000913050907286775
Total Asset Growth Rate,1381,20.25,1065000000.0,11185000000.0
Interest Expense Ratio,1362,19.97,0.629842741880247,0.6318947685648149
Cash Flow to Liability,1212,17.77,0.44643742095326344,0.4749149025824876
No-credit Interval,1139,16.7,0.6228384732507384,0.6249660245125268
Non-industry income and expenditure/revenue,1094,16.04,0.30328790280029794,0.30376356625777
Cash Flow to Sales,1052,15.43,0.6715332775074505,0.6716185621629824
Continuous Net Profit Growth Rate,1042,15.28,0.21751652873804922,0.21768448466795925
After-tax Net Profit Growth Rate,1033,15.15,0.6887040823934516,0.6902130193304115
Regular Net Profit Growth Rate,1030,15.1,0.6887051499830688,0.690212124863435
Operating Profit Growth Rate,1008,14.78,0.8477764598631179,0.848330188713426
Inventory/Working Capital,944,13.84,0.27644186556152894,0.278020809347037
Contingent liabilities/Net worth,942,13.81,0.004768085210100276,0.0063621185531832734
Cash Flow to Total Assets,878,12.88,0.5885705173422463,0.7077566551332267
Operating profit per person,876,12.85,0.37831855905565204,0.41597035345197997
After-tax net Interest Rate,867,12.71,0.809075093663972,0.8097057696173561
Cash Flow to Equity,827,12.13,0.30592596588683196,0.32477592245600795
Realized Sales Gross Profit Growth Rate,814,11.94,0.021931609198844435,0.022286071963273816
Long-term fund suitability ratio (A),810,11.88,0.0028380605282167246,0.009253055627927324
Continuous interest rate (after tax),806,11.82,0.7813139738458277,0.7819882211632259
Total assets to GNP price,797,11.69,-0.005645614081994249,0.01181901142020535
Net Value Growth Rate,792,11.61,0.00035337900550899996,0.0005869520223554
Pre-tax net Interest Rate,773,11.34,0.7970963858138489,0.797868325608633
Revenue per person,729,10.69,-0.027700013219158968,0.07398763274238801
Cash/Current Liability,728,10.68,-0.014275840808004574,0.029054421457471225
Operating Profit Rate,716,10.5,0.9987812367481769,0.9992824806140651
Allocation rate per person,693,10.16,-0.012229140970169498,0.0313699789448521
Total Asset Return Growth Rate Ratio,674,9.88,0.26281480445407956,0.2653324630316035
Accounts Receivable Turnover,659,9.66,-0.0004068051089042002,0.0025716981323486003
Operating Funds to Liability,657,9.63,0.31118511286939543,0.3907527514997555
Retained Earnings to Total Assets,633,9.28,0.9105243412239657,0.9653834530160182
Long-term Liability to Current Assets,620,9.09,-0.013508918916384902,0.022514864860641505
Cash Reinvestment %,617,9.05,0.3567746171901194,0.40470502216757964
Quick Assets/Current Liability,596,8.74,-0.0063269258947597756,0.024517612028975226
Quick Ratio,591,8.67,-0.006558902390182324,0.023533912589973477
